NORTH CAROLINA,37,BRUNSWICK,019
VIRGINIA,51,LOUDOUN,107
MARYLAND,24,CALVERT,009
IDAHO,16,WASHINGTON,087
NORTH CAROLINA,37,SAMPSON,163
MISSOURI,29,GRUNDY,079
OHIO,39,WOOD,173
NEW YORK,36,MONROE,055
ARKANSAS,05,MONROE,095
KANSAS,20,MEADE,119
INDIANA,18,KOSCIUSKO,085
ILLINOIS,17,KENDALL,093
INDIANA,18,PARKE,121
ILLINOIS,17,WHITESIDE,195
ALABAMA,01,BALDWIN,003
NEBRASKA,31,ROCK,149
ILLINOIS,17,JACKSON,077
VIRGINIA,51,RICHMOND,159
NORTH CAROLINA,37,PERQUIMANS,143
KENTUCKY,21,FULTON,075
MICHIGAN,26,VAN BUREN,159
PENNSYLVANIA,42,NORTHUMBERLAND,097
CALIFORNIA,06,COLUSA,011
ARKANSAS,05,SAINT FRANCIS,123
NEBRASKA,31,GREELEY,077
KENTUCKY,21,HART,099
KANSAS,20,WILSON,205
ILLINOIS,17,CARROLL,015
KANSAS,20,MORRIS,127
NEBRASKA,31,FRANKLIN,061
KANSAS,20,REPUBLIC,157
NEBRASKA,31,BOYD,015
ILLINOIS,17,JO DAVIESS,085
KANSAS,20,KIOWA,097
MISSOURI,29,ST LOUIS,189
ILLINOIS,17,HENDERSON,071
KENTUCKY,21,HARDIN,093
OHIO,39,FAIRFIELD,045
PENNSYLVANIA,42,TIOGA,117
MINNESOTA,27,WASECA,161
NEBRASKA,31,SCOTTS BLUFF,157
SOUTH CAROLINA,45,CALHOUN,017
ILLINOIS,17,HENRY,073
MINNESOTA,27,LAC QUI PARLE,073
NORTH CAROLINA,37,LENOIR,107
MISSISSIPPI,28,ALCORN,003
MISSISSIPPI,28,CHICKASAW,017
VIRGINIA,51,PITTSYLVANIA,143
MISSOURI,29,BOLLINGER,017
ILLINOIS,17,COLES,029
MISSOURI,29,LINCOLN,113
NORTH DAKOTA,38,GRIGGS,039
TEXAS,48,HALE,189
ILLINOIS,17,MOULTRIE,139
IOWA,19,WORTH,195
SOUTH DAKOTA,46,LINCOLN,083
WISCONSIN,55,WAUSHARA,137
TEXAS,48,FLOYD,153
IOWA,19,CALHOUN,025
KENTUCKY,21,LINCOLN,137
KANSAS,20,RENO,155
KENTUCKY,21,BUTLER,031
IOWA,19,LYON,119
VIRGINIA,51,FAUQUIER,061
IOWA,19,LUCAS,117
INDIANA,18,STEUBEN,151
TEXAS,48,ROBERTSON,395
IOWA,19,JOHNSON,103
GEORGIA,13,THOMAS,275
TENNESSEE,47,CHESTER,023
IOWA,19,FREMONT,071
INDIANA,18,HENRY,065
OREGON,41,MALHEUR,045
NEBRASKA,31,NANCE,125
TENNESSEE,47,GIBSON,053
PENNSYLVANIA,42,PERRY,099
MINNESOTA,27,MEEKER,093
ARKANSAS,05,GREENE,055
